Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Run Cadence,Max Run Cadence,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Max Depth,Bottom Time,Min Water Temp,Gas Type,Surface Interval,Decompression,Weight,Current,Surface Conditions,Water Type
running,2018-06-28 18:34:38,false,"Washington Running","4.03","437","34:17","162","183","3.8","159","245","8:30","7:45","66","82","1.19","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-06-26 17:24:13,false,"Washington Running","4.04","432","33:38","161","184","3.7","159","245","8:20","6:56","77","88","1.21","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-06-18 10:00:40,false,"Running","1.01","98","8:41.5","145","164","2.0","159","245","8:36","8:07","21","15","1.18","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-06-16 10:26:53,false,"Running","3.12","352","26:53","163","181","3.5","159","166","8:37","8:03","131","133","1.18","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-06-13 18:54:38,false,"Washington Running","3.52","389","29:28","163","183","3.6","159","170","8:23","7:19","53","63","1.21","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-06-11 18:33:53,false,"Washington Running","4.52","452","38:06","153","173","3.4","159","227","8:26","7:09","92","98","1.20","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-06-07 18:20:21,false,"Washington Running","4.03","438","34:42","160","180","3.7","158","168","8:36","7:36","75","86","1.18","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-06-05 18:49:21,false,"Washington Running","4.03","414","34:42","153","182","3.3","158","170","8:37","7:36","124","152","1.18","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-06-02 09:17:41,false,"Westford Running","2.73","326","25:26","159","176","3.3","160","168","9:19","8:29","103","112","1.08","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-05-29 17:18:40,false,"Sandwich Running","4.06","447","34:28","163","183","3.8","160","170","8:29","7:59","136","168","1.19","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
